[COMMENT],!-- GENERAL parameters
p_name, 'Peridinium', 'cyano', 'green', 'karlodinium', 'phy05', 'phy06', 'diatom', 'crypto', 'cryptophyte', 'chlorophyte', 'synechococcus', 'MICROCYSTIS', 'Cyanobacteria', 'Cyanobacteria', 'n_spumigena', 'Peridinium', 'Microcystis', 'Microcystis(1)', 'Aphanizomenon', 'Nanoplankton', 'Cayelan_Test',[COMMENT],string, Name of phytoplankton group
k_fdom, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.2, 0.05, 0.2, 0.2, 0.2, 0.2,[COMMENT],real, Fraction of metabolic loss that is DOM (-)
[COMMENT],!-- SALINITY parameters
salTol, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,[COMMENT],integer, Type of salinity limitation function (-)
S_bep, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,[COMMENT],real, Salinity limitation value at maximum salinity S_maxsp (-)
S_maxsp, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35,[COMMENT],real, Maximum salinity (g/kg)
S_opt, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,[COMMENT],real, Optimal salinity (g/kg)
[COMMENT],!-- NITROGEN parameters
simDINUptake, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,[COMMENT],integer, Simulate DIN uptake (0 = false, 1 = true)
simDONUptake, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,[COMMENT],integer, Simulate DON uptake (0 = false, 1 = true)
simNFixation, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,[COMMENT],integer, Simulate N fixation (0 = false, 1 = true)
simINDynamics, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,[COMMENT],integer, Simulate internal N  (0 = assumed fixed C:N, 2 = dynamic C:N)
N_o, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25,[COMMENT],real, Nitrogen concentraion below which uptake is 0 (mmol N/m^3)
K_N, 4, 4, 3.21, 4, 4, 4, 3.57, 3.57, 3.21, 4, 4, 4, 4, 4, 4, 3.39, 4, 3.39, 3.39, 3.39, 3.39,[COMMENT],real, Half-saturation concentration of nitrogen (mmol N/m^3)
X_ncon, 232342, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035,[COMMENT],real, Constant internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 0 or 1
X_nmin, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.003, 0.02, 0.002, 0.017, 0.007, 0.017,[COMMENT],real, minimum internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 2
X_nmax, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.006, 0.07, 0.005, 0.009, 0.028, 0.009,[COMMENT],real, maximum internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 2
R_nuptake, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02,[COMMENT],real, maximum nitrogen uptake rate(mmol N/m^3/d) used if simINDynamics = 2
k_nfix, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7,[COMMENT],real, growth rate reduction under maximum nitrogen fixation (/day) used if simNFixation >0
R_nfix, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0, 0.035, 0, 0.012, 0, 0.012,[COMMENT],real, nitrogen fixation rate (mmol N/mmol C/day)
[COMMENT],!-- PHOSPHORUS parameters
simDIPUptake, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,[COMMENT],integer, Simulate DIP uptake (0 = false, 1 = true)
simIPDynamics, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,[COMMENT],integer, Simulate internal phosphorus dynamics (0 = assumed fixed C:P, 2 = dynamic C:P)
P_0, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03,[COMMENT],real, Phosphorus concentraion below which uptake is 0 (mmol P/m^3)
K_P, 0.15, 0.15, 0.16, 0.15, 0.15, 0.15, 0.16, 0.16, 0.16, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 7.74E-5, 0.15, 5.8E-5, 3.87E-5, 4.51E-5, 3.87E-5,[COMMENT],real, Half-saturation concentration of phosphorus (mmol P/m^3)
X_pcon, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015, 0.0015,[COMMENT],real, Constant internal phosphorus concentration (mmol P/ mmol C) used if simIPDynamics = 0 or 1
X_pmin, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0, 0.0005, 0.003, 0.006, 0.003, 0.006,[COMMENT],real, Minimum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2
X_pmax, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.001, 0.005, 0.019, 0.502, 0.012, 0.502,[COMMENT],real, Maximum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2
R_puptake, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001,[COMMENT],real, Maximum phosphorus uptake rate(mmol P/m^3/d) used if simIPDynamics = 2
[COMMENT],!-- SILICA parameter
simSiUptake, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,[COMMENT],integer, Simulate Si uptake (0 = false, 1 = true)
Si_0, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3,[COMMENT],real, Silica concentraion below which uptake is 0 (mmol Si/m^3)
K_Si, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5,[COMMENT],real, Half-saturation concentration of silica (mmol Si /m3)
X_sicon, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4,[COMMENT],real, Constant interal silica concentration (mmol Si/mmol C)
